 1    1   90     0    43   0.0031       2     4.88  433.27   3.7   4.7
 1    1   90   100  41.8   0.0031     2.1     4.86  427.45   3.7   4.7
 1    1   90   200  41.5    0.003     2.2     4.61  427.84   3.6   4.7
 1    1   90   300  41.4   0.0029     2.2     4.88  430.64   3.7   4.7
 1    1   90   400    41   0.0029     2.1     4.34  429.69   3.6   4.8
 1    1   90   500  40.5   0.0029     2.1      5.4  430.53   3.6   4.7
 1    1   90   600  39.4    0.003     2.3     5.38  427.87   3.5   4.8
 1    1   90   700  38.2   0.0033     2.3     6.01  427.62   3.5   4.8
 1    1   90   800  38.8   0.0031     8.7     5.06  417.54   3.5   4.8
 1    1   90   900  39.2   0.0032    51.9     3.22  412.34   3.5   4.9
 1    1   90  1000  40.4   0.0032   122.2     1.45  415.27   3.5   4.8
 1    1   90  1100  43.2    0.003   211.2     0.57  428.49   3.6   4.7
 1    1   90  1200  45.9   0.0025   228.3      2.1  431.49   3.7   4.6
 1    1   90  1300  47.4   0.0022     229     5.02  434.72   3.7   4.5
 1    1   90  1400  47.9   0.0022   221.7      3.2   434.4   3.8   4.4
 1    1   90  1500  48.6   0.0022   238.6     3.15  438.99   3.8   4.1
 1    1   90  1600  48.9   0.0019     107     3.41  446.03   3.8   4.6
 1    1   90  1700  48.8   0.0019    43.8     3.91  444.18   3.8   3.9
 1    1   90  1800  47.6   0.0021     6.2     6.17  446.38   3.7   4.1
 1    1   90  1900  46.7   0.0022     1.6     3.79  441.17   3.7   4.5
 1    1   90  2000  46.1   0.0023     1.7     4.42  439.77   3.6   4.7
 1    1   90  2100  44.6   0.0029     1.8     4.03  445.99   3.6   4.4
 1    1   90  2200  43.5   0.0033     2.1     4.73  448.89   3.7   4.7
 1    1   90  2300  43.2   0.0036     2.1     4.71  438.24   3.6   4.7
 1    2   90     0  43.5   0.0038     2.1        5  437.42   3.6   4.5
 1    2   90   100  43.4   0.0041       2     3.73  433.23   3.7   4.5
 1    2   90   200  43.3   0.0047       2     4.27  430.59   3.5   4.4
 1    2   90   300  42.8   0.0049     2.1     3.22  426.17   3.7   4.6
 1    2   90   400  42.3    0.005     2.2     3.98  423.69   3.7   4.6
